blockName counter targetLR setSize isi cueUcOrLc congr competing preivewOrNot keyPressed keyStatus rt NA
prc 5 7 9 50 15 1 1 0 1 7 1 1064
prc 2 1 3 50 15 1 1 0 1 1 1 751
prc 8 1 3 400 15 1 1 0 1 1 1 734
prc 9 7 7 400 15 1 1 0 1 7 1 596
prc 3 7 7 50 15 1 1 0 1 7 1 618
prc 11 7 9 400 15 1 1 0 1 7 1 626
prc 10 1 7 400 15 1 1 0 1 1 1 824
prc 7 7 3 400 15 1 1 0 1 7 1 425
prc 1 7 3 50 15 1 1 0 1 7 1 408
prc 12 1 9 400 15 1 1 0 1 1 1 743
prc 6 1 9 50 15 1 1 0 1 7 2 631
prc 4 1 7 50 15 1 1 0 1 1 1 551
block1 14 1 3 50 15 1 1 0 1 1 1 570
block1 23 7 9 400 15 1 1 0 1 7 1 783
block1 19 7 3 400 15 1 1 0 1 7 1 498
block1 13 7 3 50 15 1 1 0 1 7 1 508
block1 20 1 3 400 15 1 1 0 1 1 1 331
block1 21 7 7 400 15 1 1 0 1 7 1 460
block1 22 1 7 400 15 1 1 0 1 1 1 908
block1 15 7 7 50 15 1 1 0 1 7 1 452
block1 18 1 9 50 15 1 1 0 1 1 1 961
block1 17 7 9 50 15 1 1 0 1 7 1 608
block1 24 1 9 400 15 1 1 0 1 7 2 595
block1 16 1 7 50 15 1 1 0 1 1 1 501
block1 33 7 7 400 15 1 1 0 1 7 1 544
block1 29 7 9 50 15 1 1 0 1 7 1 516
block1 25 7 3 50 15 1 1 0 1 7 1 443
block1 32 1 3 400 15 1 1 0 1 1 1 483
block1 36 1 9 400 15 1 1 0 1 1 1 624
block1 35 7 9 400 15 1 1 0 1 7 1 942
block1 30 1 9 50 15 1 1 0 1 1 1 1067
block1 26 1 3 50 15 1 1 0 1 1 1 377
block1 27 7 7 50 15 1 1 0 1 7 1 662
block1 28 1 7 50 15 1 1 0 1 1 1 573
block1 34 1 7 400 15 1 1 0 1 1 1 407
block1 31 7 3 400 15 1 1 0 1 7 1 430
block1 45 7 7 400 15 1 1 0 1 7 1 451
block1 46 1 7 400 15 1 1 0 1 1 1 550
block1 39 7 7 50 15 1 1 0 1 7 1 495
block1 42 1 9 50 15 1 1 0 1 1 1 805
block1 37 7 3 50 15 1 1 0 1 7 1 451
block1 43 7 3 400 15 1 1 0 1 7 1 498
block1 47 7 9 400 15 1 1 0 1 7 1 477
block1 48 1 9 400 15 1 1 0 1 1 1 857
block1 44 1 3 400 15 1 1 0 1 1 1 423
block1 38 1 3 50 15 1 1 0 1 1 1 358
block1 40 1 7 50 15 1 1 0 1 1 1 379
block1 41 7 9 50 15 1 1 0 1 7 1 642
block1 51 7 7 50 15 1 1 0 1 7 1 526
block1 57 7 7 400 15 1 1 0 1 7 1 597
block1 49 7 3 50 15 1 1 0 1 7 1 498
block1 59 7 9 400 15 1 1 0 1 1 2 778
block1 50 1 3 50 15 1 1 0 1 1 1 561
block1 58 1 7 400 15 1 1 0 1 1 1 651
block1 53 7 9 50 15 1 1 0 1 7 1 741
block1 60 1 9 400 15 1 1 0 1 1 1 496
block1 55 7 3 400 15 1 1 0 1 7 1 419
block1 56 1 3 400 15 1 1 0 1 1 1 365
block1 54 1 9 50 15 1 1 0 1 1 1 941
block1 52 1 7 50 15 1 1 0 1 1 1 645
block1 62 1 3 50 15 1 1 0 1 1 1 471
block1 70 1 7 400 15 1 1 0 1 1 1 596
block1 72 1 9 400 15 1 1 0 1 1 1 348
block1 66 1 9 50 15 1 1 0 1 1 1 422
block1 68 1 3 400 15 1 1 0 1 1 1 313
block1 64 1 7 50 15 1 1 0 1 1 1 238
block1 67 7 3 400 15 1 1 0 1 7 1 652
block1 61 7 3 50 15 1 1 0 1 7 1 438
block1 65 7 9 50 15 1 1 0 1 7 1 660
block1 63 7 7 50 15 1 1 0 1 7 1 432
block1 71 7 9 400 15 1 1 0 1 7 1 927
block1 69 7 7 400 15 1 1 0 1 7 1 751
block2 80 1 3 400 15 1 1 0 1 1 1 593
block2 76 1 7 50 15 1 1 0 1 1 1 790
block2 75 7 7 50 15 1 1 0 1 7 1 519
block2 83 7 9 400 15 1 1 0 1 7 1 517
block2 74 1 3 50 15 1 1 0 1 1 1 433
block2 77 7 9 50 15 1 1 0 1 7 1 782
block2 81 7 7 400 15 1 1 0 1 7 1 460
block2 73 7 3 50 15 1 1 0 1 7 1 618
block2 78 1 9 50 15 1 1 0 1 1 1 922
block2 79 7 3 400 15 1 1 0 1 7 1 408
block2 82 1 7 400 15 1 1 0 1 1 1 790
block2 84 1 9 400 15 1 1 0 1 1 1 815
block2 95 7 9 400 15 1 1 0 1 7 1 700
block2 90 1 9 50 15 1 1 0 1 1 1 648
block2 87 7 7 50 15 1 1 0 1 7 1 933
block2 96 1 9 400 15 1 1 0 1 1 1 588
block2 93 7 7 400 15 1 1 0 1 7 1 495
block2 89 7 9 50 15 1 1 0 1 1 2 675
block2 91 7 3 400 15 1 1 0 1 7 1 367
block2 88 1 7 50 15 1 1 0 1 1 1 507
block2 85 7 3 50 15 1 1 0 1 7 1 456
block2 86 1 3 50 15 1 1 0 1 1 1 430
block2 92 1 3 400 15 1 1 0 1 1 1 449
block2 94 1 7 400 15 1 1 0 1 1 1 395
block2 99 7 7 50 15 1 1 0 1 7 1 530
block2 98 1 3 50 15 1 1 0 1 1 1 497
block2 103 7 3 400 15 1 1 0 1 7 1 473
block2 105 7 7 400 15 1 1 0 1 7 1 483
block2 100 1 7 50 15 1 1 0 1 1 1 475
block2 102 1 9 50 15 1 1 0 1 1 1 717
block2 107 7 9 400 15 1 1 0 1 7 1 435
block2 108 1 9 400 15 1 1 0 1 1 1 536
block2 101 7 9 50 15 1 1 0 1 7 1 782
block2 106 1 7 400 15 1 1 0 1 1 1 491
block2 104 1 3 400 15 1 1 0 1 1 1 467
block2 97 7 3 50 15 1 1 0 1 7 1 513
block2 113 7 9 50 15 1 1 0 1 7 1 1107
block2 119 7 9 400 15 1 1 0 1 7 1 496
block2 115 7 3 400 15 1 1 0 1 7 1 486
block2 116 1 3 400 15 1 1 0 1 1 1 745
block2 120 1 9 400 15 1 1 0 1 1 1 711
block2 111 7 7 50 15 1 1 0 1 7 1 608
block2 118 1 7 400 15 1 1 0 1 1 1 688
block2 114 1 9 50 15 1 1 0 1 1 1 527
block2 109 7 3 50 15 1 1 0 1 7 1 514
block2 110 1 3 50 15 1 1 0 1 1 1 676
block2 117 7 7 400 15 1 1 0 1 7 1 776
block2 112 1 7 50 15 1 1 0 1 1 1 863
block2 130 1 7 400 15 1 1 0 1 1 1 642
block2 128 1 3 400 15 1 1 0 1 1 1 423
block2 132 1 9 400 15 1 1 0 1 1 1 452
block2 124 1 7 50 15 1 1 0 1 1 1 470
block2 123 7 7 50 15 1 1 0 1 7 1 513
block2 126 1 9 50 15 1 1 0 1 1 1 569
block2 121 7 3 50 15 1 1 0 1 1 2 521
block2 127 7 3 400 15 1 1 0 1 7 1 497
block2 131 7 9 400 15 1 1 0 1 7 1 519
block2 125 7 9 50 15 1 1 0 1 7 1 626
block2 122 1 3 50 15 1 1 0 1 1 1 452
block2 129 7 7 400 15 1 1 0 1 7 1 597
block3 138 1 9 50 15 1 1 0 1 1 1 894
block3 141 7 7 400 15 1 1 0 1 7 1 524
block3 143 7 9 400 15 1 1 0 1 7 1 544
block3 139 7 3 400 15 1 1 0 1 7 1 501
block3 133 7 3 50 15 1 1 0 1 7 1 416
block3 137 7 9 50 15 1 1 0 1 7 1 554
block3 144 1 9 400 15 1 1 0 1 1 1 627
block3 140 1 3 400 15 1 1 0 1 1 1 506
block3 134 1 3 50 15 1 1 0 1 1 1 613
block3 135 7 7 50 15 1 1 0 1 7 1 548
block3 142 1 7 400 15 1 1 0 1 1 1 730
block3 136 1 7 50 15 1 1 0 1 1 1 653
block3 156 1 9 400 15 1 1 0 1 7 2 726
block3 154 1 7 400 15 1 1 0 1 1 1 1005
block3 147 7 7 50 15 1 1 0 1 7 1 525
block3 146 1 3 50 15 1 1 0 1 1 1 556
block3 148 1 7 50 15 1 1 0 1 1 1 638
block3 145 7 3 50 15 1 1 0 1 7 1 773
block3 151 7 3 400 15 1 1 0 1 7 1 503
block3 150 1 9 50 15 1 1 0 1 1 1 848
block3 155 7 9 400 15 1 1 0 1 7 1 586
block3 149 7 9 50 15 1 1 0 1 7 1 498
block3 152 1 3 400 15 1 1 0 1 1 1 525
block3 153 7 7 400 15 1 1 0 1 7 1 518
block3 164 1 3 400 15 1 1 0 1 1 1 488
block3 159 7 7 50 15 1 1 0 1 1 2 550
block3 158 1 3 50 15 1 1 0 1 1 1 454
block3 162 1 9 50 15 1 1 0 1 1 1 714
block3 161 7 9 50 15 1 1 0 1 7 1 662
block3 168 1 9 400 15 1 1 0 1 1 1 492
block3 160 1 7 50 15 1 1 0 1 1 1 729
block3 166 1 7 400 15 1 1 0 1 1 1 498
block3 163 7 3 400 15 1 1 0 1 7 1 545
block3 165 7 7 400 15 1 1 0 1 7 1 687
block3 157 7 3 50 15 1 1 0 1 7 1 731
block3 167 7 9 400 15 1 1 0 1 7 1 632
block3 169 7 3 50 15 1 1 0 1 7 1 609
block3 170 1 3 50 15 1 1 0 1 1 1 578
block3 174 1 9 50 15 1 1 0 1 1 1 777
block3 177 7 7 400 15 1 1 0 1 7 1 651
block3 179 7 9 400 15 1 1 0 1 7 1 679
block3 178 1 7 400 15 1 1 0 1 1 1 797
block3 175 7 3 400 15 1 1 0 1 7 1 637
block3 172 1 7 50 15 1 1 0 1 1 1 653
block3 173 7 9 50 15 1 1 0 1 7 1 998
block3 176 1 3 400 15 1 1 0 1 1 1 587
block3 180 1 9 400 15 1 1 0 1 1 1 579
block3 171 7 7 50 15 1 1 0 1 7 1 612
block3 188 1 3 400 15 1 1 0 1 1 1 591
block3 190 1 7 400 15 1 1 0 1 1 1 628
block3 192 1 9 400 15 1 1 0 1 1 1 1097
block3 185 7 9 50 15 1 1 0 1 7 1 594
block3 191 7 9 400 15 1 1 0 1 7 1 657
block3 183 7 7 50 15 1 1 0 1 1 2 703
block3 189 7 7 400 15 1 1 0 1 7 1 591
block3 186 1 9 50 15 1 1 0 1 1 1 915
block3 184 1 7 50 15 1 1 0 1 1 1 637
block3 187 7 3 400 15 1 1 0 1 7 1 592
block3 181 7 3 50 15 1 1 0 1 7 1 633
block3 182 1 3 50 15 1 1 0 1 1 1 530
block4 198 1 9 50 15 1 1 0 1 1 1 662
block4 201 7 7 400 15 1 1 0 1 7 1 606
block4 203 7 9 400 15 1 1 0 1 7 1 739
block4 194 1 3 50 15 1 1 0 1 1 1 884
block4 196 1 7 50 15 1 1 0 1 1 1 622
block4 204 1 9 400 15 1 1 0 1 1 1 930
block4 202 1 7 400 15 1 1 0 1 1 1 573
block4 193 7 3 50 15 1 1 0 1 7 1 560
block4 197 7 9 50 15 1 1 0 1 7 1 840
block4 200 1 3 400 15 1 1 0 1 1 1 620
block4 199 7 3 400 15 1 1 0 1 7 1 505
block4 195 7 7 50 15 1 1 0 1 7 1 586
block4 205 7 3 50 15 1 1 0 1 7 1 607
block4 214 1 7 400 15 1 1 0 1 1 1 901
block4 209 7 9 50 15 1 1 0 1 7 1 562
block4 211 7 3 400 15 1 1 0 1 7 1 430
block4 215 7 9 400 15 1 1 0 1 7 1 1080
block4 213 7 7 400 15 1 1 0 1 7 1 685
block4 210 1 9 50 15 1 1 0 1 1 1 864
block4 208 1 7 50 15 1 1 0 1 1 1 1133
block4 212 1 3 400 15 1 1 0 1 1 1 422
block4 216 1 9 400 15 1 1 0 1 1 1 65
block4 206 1 3 50 15 1 1 0 1 1 1 375
block4 207 7 7 50 15 1 1 0 1 7 1 579
block4 221 7 9 50 15 1 1 0 1 7 1 675
block4 217 7 3 50 15 1 1 0 1 7 1 620
block4 219 7 7 50 15 1 1 0 1 7 1 1063
block4 220 1 7 50 15 1 1 0 1 1 1 729
block4 224 1 3 400 15 1 1 0 1 7 2 497
block4 223 7 3 400 15 1 1 0 1 7 1 615
block4 222 1 9 50 15 1 1 0 1 1 1 727
block4 225 7 7 400 15 1 1 0 1 7 1 1140
block4 227 7 9 400 15 1 1 0 1 7 1 1346
block4 228 1 9 400 15 1 1 0 1 1 1 1134
block4 218 1 3 50 15 1 1 0 1 1 1 477
block4 226 1 7 400 15 1 1 0 1 1 1 554
block4 235 7 3 400 15 1 1 0 1 7 1 877
block4 230 1 3 50 15 1 1 0 1 1 1 705
block4 234 1 9 50 15 1 1 0 1 1 1 441
block4 238 1 7 400 15 1 1 0 1 1 1 623
block4 232 1 7 50 15 1 1 0 1 1 1 654
block4 233 7 9 50 15 1 1 0 1 7 1 731
block4 236 1 3 400 15 1 1 0 1 1 1 458
block4 237 7 7 400 15 1 1 0 1 7 1 638
block4 229 7 3 50 15 1 1 0 1 7 1 568
block4 239 7 9 400 15 1 1 0 1 7 1 583
block4 231 7 7 50 15 1 1 0 1 7 1 1030
block4 240 1 9 400 15 1 1 0 1 1 1 1230
block4 252 1 9 400 15 1 1 0 1 1 1 637
block4 251 7 9 400 15 1 1 0 1 7 1 864
block4 245 7 9 50 15 1 1 0 1 7 1 1015
block4 246 1 9 50 15 1 1 0 1 1 1 1221
block4 243 7 7 50 15 1 1 0 1 7 1 738
block4 244 1 7 50 15 1 1 0 1 1 1 1230
block4 249 7 7 400 15 1 1 0 1 7 1 820
block4 247 7 3 400 15 1 1 0 1 7 1 513
block4 250 1 7 400 15 1 1 0 1 1 1 666
block4 248 1 3 400 15 1 1 0 1 1 1 561
block4 242 1 3 50 15 1 1 0 1 1 1 557
block4 241 7 3 50 15 1 1 0 1 1 2 925
block5 254 1 3 50 15 1 1 0 1 1 1 643
block5 258 1 9 50 15 1 1 0 1 1 1 514
block5 255 7 7 50 15 1 1 0 1 7 1 508
block5 263 7 9 400 15 1 1 0 1 7 1 586
block5 260 1 3 400 15 1 1 0 1 1 1 549
