blockName counter targetLR setSize isi cueUcOrLc congr competing preivewOrNot keyPressed keyStatus rt NA
prc 8 1 3 400 14 1 1 0 1 1 1 728
prc 11 7 9 400 15 1 1 0 1 7 1 899
prc 2 1 3 50 25 1 1 0 1 1 1 846
prc 1 7 3 50 13 1 1 0 1 7 1 662
prc 12 1 9 400 21 1 1 0 1 1 1 1207
prc 6 1 9 50 11 1 1 0 1 1 1 798
prc 9 7 7 400 24 1 1 0 1 7 1 777
prc 3 7 7 50 13 1 1 0 1 7 1 617
prc 10 1 7 400 14 1 1 0 1 1 1 659
prc 4 1 7 50 14 1 1 0 1 1 1 572
prc 5 7 9 50 8 1 1 0 1 7 1 721
prc 7 7 3 400 25 1 1 0 1 7 1 543
block1 18 1 9 50 13 1 1 0 1 1 1 671
block1 15 7 7 50 14 1 1 0 1 7 1 1129
block1 17 7 9 50 11 1 1 0 1 7 1 698
block1 23 7 9 400 15 1 1 0 1 7 1 1746
block1 20 1 3 400 17 1 1 0 1 1 1 784
block1 24 1 9 400 17 1 1 0 1 1 1 427
block1 16 1 7 50 15 1 1 0 1 1 1 1137
block1 21 7 7 400 11 1 1 0 1 7 1 1033
block1 22 1 7 400 20 1 1 0 1 1 1 899
block1 13 7 3 50 11 1 1 0 1 7 1 520
block1 19 7 3 400 12 1 1 0 1 7 1 544
block1 14 1 3 50 12 1 1 0 1 1 1 669
block1 33 7 7 400 13 1 1 0 1 7 1 678
block1 30 1 9 50 27 1 1 0 1 1 1 827
block1 26 1 3 50 8 1 1 0 1 1 1 596
block1 32 1 3 400 11 1 1 0 1 1 1 505
block1 35 7 9 400 21 1 1 0 1 7 1 551
block1 34 1 7 400 9 1 1 0 1 1 1 765
block1 27 7 7 50 20 1 1 0 1 7 1 610
block1 31 7 3 400 14 1 1 0 1 7 1 625
block1 29 7 9 50 27 1 1 0 1 7 1 1101
block1 28 1 7 50 25 1 1 0 1 1 1 1220
block1 36 1 9 400 14 1 1 0 1 1 1 643
block1 25 7 3 50 12 1 1 0 1 7 1 514
block1 43 7 3 400 17 1 1 0 1 7 1 475
block1 41 7 9 50 9 1 1 0 1 7 1 957
block1 38 1 3 50 13 1 1 0 1 1 1 726
block1 37 7 3 50 20 1 1 0 1 7 1 588
block1 46 1 7 400 21 1 1 0 1 1 1 932
block1 48 1 9 400 8 1 1 0 1 1 1 888
block1 39 7 7 50 12 1 1 0 1 7 1 590
block1 44 1 3 400 27 1 1 0 1 1 1 441
block1 42 1 9 50 13 1 1 0 1 1 1 1171
block1 40 1 7 50 13 1 1 0 1 1 1 635
block1 45 7 7 400 24 1 1 0 1 7 1 722
block1 47 7 9 400 12 1 1 0 1 7 1 966
block1 54 1 9 50 14 1 1 0 1 1 1 710
block1 57 7 7 400 17 1 1 0 1 7 1 546
block1 50 1 3 50 17 1 1 0 1 1 1 577
block1 59 7 9 400 25 1 1 0 1 7 1 658
block1 53 7 9 50 11 1 1 0 1 7 1 504
block1 49 7 3 50 11 1 1 0 1 7 1 587
block1 52 1 7 50 24 1 1 0 1 1 1 655
block1 55 7 3 400 27 1 1 0 1 7 1 485
block1 60 1 9 400 17 1 1 0 1 1 1 546
block1 58 1 7 400 20 1 1 0 1 1 1 1096
block1 51 7 7 50 9 1 1 0 1 1 2 1956
block1 56 1 3 400 21 1 1 0 1 1 1 574
block1 64 1 7 50 27 1 1 0 1 1 1 728
block1 70 1 7 400 25 1 1 0 1 1 1 1458
block1 65 7 9 50 11 1 1 0 1 7 1 1024
block1 62 1 3 50 9 1 1 0 1 1 1 754
block1 68 1 3 400 8 1 1 0 1 1 1 525
block1 63 7 7 50 21 1 1 0 1 7 1 722
block1 66 1 9 50 13 1 1 0 1 1 1 637
block1 61 7 3 50 14 1 1 0 1 7 1 656
block1 71 7 9 400 20 1 1 0 1 7 1 1015
block1 67 7 3 400 25 1 1 0 1 7 1 680
block1 72 1 9 400 14 1 1 0 1 1 1 1078
block1 69 7 7 400 24 1 1 0 1 7 1 771
block2 82 1 7 400 8 1 1 0 1 1 1 1103
block2 80 1 3 400 13 1 1 0 1 1 1 553
block2 74 1 3 50 13 1 1 0 1 1 1 455
block2 79 7 3 400 24 1 1 0 1 7 1 437
block2 73 7 3 50 9 1 1 0 1 7 1 446
block2 75 7 7 50 15 1 1 0 1 7 1 901
block2 78 1 9 50 21 1 1 0 1 1 1 933
block2 76 1 7 50 13 1 1 0 1 7 2 764
block2 83 7 9 400 11 1 1 0 1 7 1 886
