blockName counter targetLR setSize isi cueUcOrLc congr competing preivewOrNot keyPressed keyStatus rt NA
prc 7 7 3 400 15 1 1 0 1 7 1 594
prc 1 7 3 50 15 1 1 0 1 7 1 607
prc 10 1 7 400 15 1 1 0 1 1 1 681
prc 11 7 9 400 15 1 1 0 1 7 1 890
prc 8 1 3 400 15 1 1 0 1 1 1 540
prc 9 7 7 400 15 1 1 0 1 7 1 534
prc 2 1 3 50 15 1 1 0 1 1 1 707
prc 12 1 9 400 15 1 1 0 1 1 1 941
prc 5 7 9 50 15 1 1 0 1 7 1 954
prc 6 1 9 50 15 1 1 0 1 1 1 1541
prc 4 1 7 50 15 1 1 0 1 1 1 925
prc 3 7 7 50 15 1 1 0 1 7 1 917
block1 23 7 9 400 15 1 1 0 1 7 1 1150
block1 20 1 3 400 15 1 1 0 1 1 1 534
block1 17 7 9 50 15 1 1 0 1 7 1 733
block1 22 1 7 400 15 1 1 0 1 1 1 598
block1 18 1 9 50 15 1 1 0 1 1 1 1363
block1 24 1 9 400 15 1 1 0 1 1 1 1542
block1 21 7 7 400 15 1 1 0 1 7 1 471
block1 14 1 3 50 15 1 1 0 1 1 1 415
block1 16 1 7 50 15 1 1 0 1 1 1 695
block1 13 7 3 50 15 1 1 0 1 7 1 472
block1 15 7 7 50 15 1 1 0 1 7 1 537
block1 19 7 3 400 15 1 1 0 1 7 1 436
block1 29 7 9 50 15 1 1 0 1 7 1 1037
block1 35 7 9 400 15 1 1 0 1 7 1 1099
block1 31 7 3 400 15 1 1 0 1 7 1 450
block1 28 1 7 50 15 1 1 0 1 1 1 806
block1 36 1 9 400 15 1 1 0 1 1 1 581
block1 33 7 7 400 15 1 1 0 1 7 1 894
block1 32 1 3 400 15 1 1 0 1 1 1 504
block1 30 1 9 50 15 1 1 0 1 1 1 702
block1 25 7 3 50 15 1 1 0 1 7 1 509
block1 26 1 3 50 15 1 1 0 1 1 1 556
block1 34 1 7 400 15 1 1 0 1 1 1 1176
