blockName counter targetLR setSize isi cueUcOrLc congr competing preivewOrNot keyPressed keyStatus rt NA
prc 2 1 3 50 24 1 1 0 1 1 1 8377
prc 7 7 3 400 9 1 1 0 1 7 1 1688
prc 4 1 7 50 24 1 1 0 1 7 2 1225
prc 10 1 7 400 14 1 1 0 1 1 1 935
prc 3 7 7 50 11 1 1 0 1 7 1 704
prc 1 7 3 50 13 1 1 0 1 7 1 793
prc 5 7 9 50 8 1 1 0 1 7 1 985
prc 9 7 7 400 27 1 1 0 1 7 1 732
prc 6 1 9 50 8 1 1 0 1 1 1 1165
prc 11 7 9 400 9 1 1 0 1 7 1 748
prc 12 1 9 400 8 1 1 0 1 1 1 748
prc 8 1 3 400 13 1 1 0 1 1 1 542
block1 18 1 9 50 24 1 1 0 1 1 1 1367
block1 21 7 7 400 25 1 1 0 1 7 1 620
block1 14 1 3 50 13 1 1 0 1 1 1 477
block1 22 1 7 400 8 1 1 0 1 1 1 468
block1 20 1 3 400 25 1 1 0 1 1 1 467
block1 13 7 3 50 14 1 1 0 1 7 1 459
block1 17 7 9 50 24 1 1 0 1 7 1 1061
block1 19 7 3 400 13 1 1 0 1 7 1 506
block1 24 1 9 400 25 1 1 0 1 1 1 812
block1 15 7 7 50 11 1 1 0 1 7 1 543
block1 16 1 7 50 9 1 1 0 1 1 1 681
block1 23 7 9 400 9 1 1 0 1 7 1 776
block1 35 7 9 400 8 1 1 0 1 7 1 586
block1 36 1 9 400 25 1 1 0 1 1 1 706
block1 34 1 7 400 14 1 1 0 1 1 1 781
block1 32 1 3 400 12 1 1 0 1 1 1 629
block1 30 1 9 50 24 1 1 0 1 1 1 596
block1 29 7 9 50 27 1 1 0 1 7 1 575
block1 27 7 7 50 11 1 1 0 1 7 1 917
block1 25 7 3 50 27 1 1 0 1 7 1 491
block1 28 1 7 50 9 1 1 0 1 1 1 469
block1 26 1 3 50 13 1 1 0 1 1 1 502
block1 31 7 3 400 20 1 1 0 1 7 1 655
block1 33 7 7 400 27 1 1 0 1 7 1 445
block1 46 1 7 400 20 1 1 0 1 1 1 465
block1 44 1 3 400 13 1 1 0 1 1 1 408
block1 48 1 9 400 21 1 1 0 1 1 1 719
block1 43 7 3 400 24 1 1 0 1 7 1 806
block1 45 7 7 400 9 1 1 0 1 7 1 758
block1 39 7 7 50 20 1 1 0 1 7 1 850
block1 37 7 3 50 13 1 1 0 1 7 1 577
block1 40 1 7 50 25 1 1 0 1 1 1 654
block1 47 7 9 400 12 1 1 0 1 7 1 683
block1 42 1 9 50 14 1 1 0 1 1 1 680
block1 38 1 3 50 24 1 1 0 1 1 1 496
block1 41 7 9 50 25 1 1 0 1 7 1 696
block1 56 1 3 400 11 1 1 0 1 1 1 402
block1 59 7 9 400 8 1 1 0 1 7 1 582
block1 50 1 3 50 8 1 1 0 1 1 1 464
block1 53 7 9 50 21 1 1 0 1 7 1 812
block1 51 7 7 50 27 1 1 0 1 7 1 717
block1 52 1 7 50 8 1 1 0 1 1 1 934
block1 60 1 9 400 21 1 1 0 1 1 1 504
block1 55 7 3 400 20 1 1 0 1 7 1 457
