blockName counter targetLR setSize isi cueUcOrLc congr competing preivewOrNot keyPressed keyStatus rt NA
prc 5 7 9 50 15 1 1 0 1 7 1 1746
prc 4 1 7 50 15 1 1 0 1 1 1 897
prc 11 7 9 400 15 1 1 0 1 7 1 1533
prc 6 1 9 50 15 1 1 0 1 1 1 549
prc 7 7 3 400 15 1 1 0 1 7 1 816
prc 8 1 3 400 15 1 1 0 1 1 1 415
prc 3 7 7 50 15 1 1 0 1 1 2 986
prc 12 1 9 400 15 1 1 0 1 1 1 765
prc 2 1 3 50 15 1 1 0 1 1 1 653
prc 9 7 7 400 15 1 1 0 1 7 1 658
prc 1 7 3 50 15 1 1 0 1 7 1 485
prc 10 1 7 400 15 1 1 0 1 1 1 933
block1 15 7 7 50 15 1 1 0 1 7 1 688
block1 14 1 3 50 15 1 1 0 1 7 2 955
block1 19 7 3 400 15 1 1 0 1 1 2 1045
block1 21 7 7 400 15 1 1 0 1 7 1 600
block1 18 1 9 50 15 1 1 0 1 1 1 813
block1 13 7 3 50 15 1 1 0 1 7 1 643
block1 16 1 7 50 15 1 1 0 1 1 1 822
block1 23 7 9 400 15 1 1 0 1 7 1 1181
block1 22 1 7 400 15 1 1 0 1 1 1 627
block1 17 7 9 50 15 1 1 0 1 7 1 1328
block1 24 1 9 400 15 1 1 0 1 1 1 628
block1 20 1 3 400 15 1 1 0 1 1 1 651
block1 26 1 3 50 15 1 1 0 1 1 1 608
block1 30 1 9 50 15 1 1 0 1 1 1 1378
block1 32 1 3 400 15 1 1 0 1 1 1 566
block1 34 1 7 400 15 1 1 0 1 1 1 560
block1 31 7 3 400 15 1 1 0 1 7 1 467
block1 27 7 7 50 15 1 1 0 1 7 1 578
block1 33 7 7 400 15 1 1 0 1 7 1 484
block1 29 7 9 50 15 1 1 0 1 7 1 572
block1 28 1 7 50 15 1 1 0 1 1 1 453
block1 36 1 9 400 15 1 1 0 1 1 1 803
block1 35 7 9 400 15 1 1 0 1 7 1 607
block1 25 7 3 50 15 1 1 0 1 7 1 441
block1 41 7 9 50 15 1 1 0 1 7 1 598
block1 40 1 7 50 15 1 1 0 1 1 1 462
block1 43 7 3 400 15 1 1 0 1 7 1 339
block1 39 7 7 50 15 1 1 0 1 7 1 709
block1 48 1 9 400 15 1 1 0 1 1 1 483
block1 47 7 9 400 15 1 1 0 1 7 1 329
block1 44 1 3 400 15 1 1 0 1 1 1 363
block1 42 1 9 50 15 1 1 0 1 1 1 610
block1 45 7 7 400 15 1 1 0 1 7 1 431
block1 38 1 3 50 15 1 1 0 1 1 1 346
block1 37 7 3 50 15 1 1 0 1 7 1 374
block1 46 1 7 400 15 1 1 0 1 1 1 501
block1 59 7 9 400 15 1 1 0 1 7 1 462
block1 57 7 7 400 15 1 1 0 1 7 1 368
block1 58 1 7 400 15 1 1 0 1 1 1 422
block1 50 1 3 50 15 1 1 0 1 1 1 421
block1 54 1 9 50 15 1 1 0 1 1 1 480
block1 53 7 9 50 15 1 1 0 1 7 1 471
block1 52 1 7 50 15 1 1 0 1 1 1 871
block1 56 1 3 400 15 1 1 0 1 1 1 456
block1 51 7 7 50 15 1 1 0 1 7 1 679
block1 55 7 3 400 15 1 1 0 1 7 1 375
block1 49 7 3 50 15 1 1 0 1 7 1 425
block1 60 1 9 400 15 1 1 0 1 1 1 874
block1 68 1 3 400 15 1 1 0 1 1 1 593
block1 70 1 7 400 15 1 1 0 1 1 1 609
block1 62 1 3 50 15 1 1 0 1 1 1 624
block1 71 7 9 400 15 1 1 0 1 7 1 604
block1 63 7 7 50 15 1 1 0 1 7 1 535
block1 64 1 7 50 15 1 1 0 1 1 1 575
block1 66 1 9 50 15 1 1 0 1 1 1 888
block1 61 7 3 50 15 1 1 0 1 7 1 325
block1 65 7 9 50 15 1 1 0 1 7 1 562
block1 67 7 3 400 15 1 1 0 1 7 1 342
block1 69 7 7 400 15 1 1 0 1 1 2 694
block1 72 1 9 400 15 1 1 0 1 1 1 553
block2 82 1 7 400 15 1 1 0 1 1 1 485
block2 81 7 7 400 15 1 1 0 1 1 2 599
block2 84 1 9 400 15 1 1 0 1 1 1 661
block2 76 1 7 50 15 1 1 0 1 1 1 573
block2 80 1 3 400 15 1 1 0 1 1 1 418
block2 73 7 3 50 15 1 1 0 1 7 1 465
block2 83 7 9 400 15 1 1 0 1 7 1 619
block2 77 7 9 50 15 1 1 0 1 7 1 641
block2 75 7 7 50 15 1 1 0 1 7 1 457
block2 78 1 9 50 15 1 1 0 1 1 1 897
block2 74 1 3 50 15 1 1 0 1 1 1 453
block2 79 7 3 400 15 1 1 0 1 7 1 331
block2 85 7 3 50 15 1 1 0 1 7 1 557
block2 93 7 7 400 15 1 1 0 1 7 1 405
block2 96 1 9 400 15 1 1 0 1 1 1 616
block2 88 1 7 50 15 1 1 0 1 1 1 597
block2 87 7 7 50 15 1 1 0 1 7 1 638
block2 89 7 9 50 15 1 1 0 1 7 1 870
block2 90 1 9 50 15 1 1 0 1 1 1 1017
block2 94 1 7 400 15 1 1 0 1 1 1 952
block2 91 7 3 400 15 1 1 0 1 7 1 416
block2 86 1 3 50 15 1 1 0 1 1 1 524
block2 92 1 3 400 15 1 1 0 1 1 1 507
block2 95 7 9 400 15 1 1 0 1 7 1 1008
block2 108 1 9 400 15 1 1 0 1 1 1 636
block2 101 7 9 50 15 1 1 0 1 7 1 664
block2 100 1 7 50 15 1 1 0 1 1 1 551
block2 103 7 3 400 15 1 1 0 1 7 1 396
block2 104 1 3 400 15 1 1 0 1 1 1 438
block2 105 7 7 400 15 1 1 0 1 7 1 382
block2 98 1 3 50 15 1 1 0 1 1 1 413
block2 99 7 7 50 15 1 1 0 1 7 1 630
block2 97 7 3 50 15 1 1 0 1 7 1 599
block2 102 1 9 50 15 1 1 0 1 1 1 541
block2 107 7 9 400 15 1 1 0 1 7 1 785
block2 106 1 7 400 15 1 1 0 1 1 1 999
block2 118 1 7 400 15 1 1 0 1 1 1 404
block2 112 1 7 50 15 1 1 0 1 1 1 410
block2 109 7 3 50 15 1 1 0 1 7 1 459
block2 119 7 9 400 15 1 1 0 1 7 1 448
block2 113 7 9 50 15 1 1 0 1 1 2 456
block2 117 7 7 400 15 1 1 0 1 7 1 706
block2 114 1 9 50 15 1 1 0 1 1 1 544
block2 120 1 9 400 15 1 1 0 1 1 1 1041
block2 111 7 7 50 15 1 1 0 1 7 1 654
block2 116 1 3 400 15 1 1 0 1 1 1 385
block2 110 1 3 50 15 1 1 0 1 1 1 388
block2 115 7 3 400 15 1 1 0 1 7 1 378
block2 127 7 3 400 15 1 1 0 1 7 1 617
block2 131 7 9 400 15 1 1 0 1 7 1 698
block2 132 1 9 400 15 1 1 0 1 1 1 665
block2 128 1 3 400 15 1 1 0 1 1 1 665
block2 130 1 7 400 15 1 1 0 1 1 1 633
block2 124 1 7 50 15 1 1 0 1 1 1 729
block2 126 1 9 50 15 1 1 0 1 1 1 921
block2 123 7 7 50 15 1 1 0 1 7 1 865
block2 125 7 9 50 15 1 1 0 1 7 1 619
block2 121 7 3 50 15 1 1 0 1 7 1 434
block2 122 1 3 50 15 1 1 0 1 1 1 427
block2 129 7 7 400 15 1 1 0 1 7 1 789
block3 143 7 9 400 15 1 1 0 1 7 1 1150
block3 135 7 7 50 15 1 1 0 1 7 1 851
block3 142 1 7 400 15 1 1 0 1 1 1 823
block3 141 7 7 400 15 1 1 0 1 7 1 579
block3 140 1 3 400 15 1 1 0 1 1 1 375
block3 134 1 3 50 15 1 1 0 1 1 1 448
block3 144 1 9 400 15 1 1 0 1 1 1 772
block3 138 1 9 50 15 1 1 0 1 1 1 516
block3 139 7 3 400 15 1 1 0 1 7 1 438
block3 137 7 9 50 15 1 1 0 1 7 1 683
block3 133 7 3 50 15 1 1 0 1 7 1 645
block3 136 1 7 50 15 1 1 0 1 1 1 891
block3 155 7 9 400 15 1 1 0 1 7 1 707
block3 152 1 3 400 15 1 1 0 1 1 1 464
block3 154 1 7 400 15 1 1 0 1 1 1 733
block3 150 1 9 50 15 1 1 0 1 1 1 604
block3 149 7 9 50 15 1 1 0 1 7 1 598
block3 147 7 7 50 15 1 1 0 1 7 1 832
block3 148 1 7 50 15 1 1 0 1 1 1 1001
block3 156 1 9 400 15 1 1 0 1 1 1 644
block3 146 1 3 50 15 1 1 0 1 1 1 522
block3 145 7 3 50 15 1 1 0 1 7 1 442
block3 151 7 3 400 15 1 1 0 1 7 1 375
block3 153 7 7 400 15 1 1 0 1 7 1 614
block3 161 7 9 50 15 1 1 0 1 7 1 551
block3 166 1 7 400 15 1 1 0 1 1 1 491
block3 159 7 7 50 15 1 1 0 1 7 1 516
block3 163 7 3 400 15 1 1 0 1 7 1 433
block3 162 1 9 50 15 1 1 0 1 1 1 872
block3 157 7 3 50 15 1 1 0 1 7 1 488
block3 160 1 7 50 15 1 1 0 1 1 1 1203
block3 167 7 9 400 15 1 1 0 1 7 1 493
block3 164 1 3 400 15 1 1 0 1 1 1 455
block3 165 7 7 400 15 1 1 0 1 7 1 627
block3 158 1 3 50 15 1 1 0 1 1 1 698
block3 168 1 9 400 15 1 1 0 1 1 1 1013
block3 177 7 7 400 15 1 1 0 1 7 1 584
block3 169 7 3 50 15 1 1 0 1 7 1 444
block3 179 7 9 400 15 1 1 0 1 7 1 488
block3 174 1 9 50 15 1 1 0 1 1 1 800
block3 180 1 9 400 15 1 1 0 1 1 1 1423
block3 170 1 3 50 15 1 1 0 1 1 1 461
block3 171 7 7 50 15 1 1 0 1 7 1 661
block3 175 7 3 400 15 1 1 0 1 7 1 559
block3 176 1 3 400 15 1 1 0 1 1 1 503
block3 178 1 7 400 15 1 1 0 1 1 1 625
block3 173 7 9 50 15 1 1 0 1 7 1 524
block3 172 1 7 50 15 1 1 0 1 1 1 592
block3 183 7 7 50 15 1 1 0 1 7 1 567
block3 185 7 9 50 15 1 1 0 1 7 1 575
block3 188 1 3 400 15 1 1 0 1 1 1 421
block3 181 7 3 50 15 1 1 0 1 7 1 562
block3 187 7 3 400 15 1 1 0 1 7 1 557
block3 191 7 9 400 15 1 1 0 1 7 1 649
block3 182 1 3 50 15 1 1 0 1 1 1 404
block3 192 1 9 400 15 1 1 0 1 1 1 745
block3 190 1 7 400 15 1 1 0 1 1 1 491
block3 186 1 9 50 15 1 1 0 1 1 1 684
block3 184 1 7 50 15 1 1 0 1 1 1 895
block3 189 7 7 400 15 1 1 0 1 7 1 616
block4 204 1 9 400 15 1 1 0 1 1 1 780
block4 203 7 9 400 15 1 1 0 1 7 1 904
block4 193 7 3 50 15 1 1 0 1 7 1 408
block4 197 7 9 50 15 1 1 0 1 7 1 834
block4 199 7 3 400 15 1 1 0 1 7 1 439
block4 196 1 7 50 15 1 1 0 1 1 1 722
block4 194 1 3 50 15 1 1 0 1 1 1 801
block4 201 7 7 400 15 1 1 0 1 7 1 549
block4 200 1 3 400 15 1 1 0 1 1 1 469
block4 198 1 9 50 15 1 1 0 1 1 1 686
block4 202 1 7 400 15 1 1 0 1 1 1 481
block4 195 7 7 50 15 1 1 0 1 7 1 699
block4 207 7 7 50 15 1 1 0 1 7 1 650
block4 205 7 3 50 15 1 1 0 1 7 1 528
block4 209 7 9 50 15 1 1 0 1 7 1 688
block4 206 1 3 50 15 1 1 0 1 1 1 419
block4 210 1 9 50 15 1 1 0 1 1 1 643
block4 215 7 9 400 15 1 1 0 1 7 1 678
block4 213 7 7 400 15 1 1 0 1 7 1 735
block4 208 1 7 50 15 1 1 0 1 1 1 871
block4 212 1 3 400 15 1 1 0 1 1 1 494
block4 214 1 7 400 15 1 1 0 1 1 1 526
block4 211 7 3 400 15 1 1 0 1 7 1 729
block4 216 1 9 400 15 1 1 0 1 1 1 913
block4 222 1 9 50 15 1 1 0 1 1 1 928
block4 219 7 7 50 15 1 1 0 1 7 1 670
block4 217 7 3 50 15 1 1 0 1 7 1 554
block4 221 7 9 50 15 1 1 0 1 7 1 974
block4 223 7 3 400 15 1 1 0 1 7 1 560
block4 224 1 3 400 15 1 1 0 1 1 1 406
block4 228 1 9 400 15 1 1 0 1 1 1 661
block4 218 1 3 50 15 1 1 0 1 1 1 515
block4 225 7 7 400 15 1 1 0 1 7 1 684
block4 227 7 9 400 15 1 1 0 1 7 1 1009
block4 226 1 7 400 15 1 1 0 1 1 1 599
block4 220 1 7 50 15 1 1 0 1 1 1 653
block4 237 7 7 400 15 1 1 0 1 7 1 853
block4 240 1 9 400 15 1 1 0 1 1 1 517
block4 234 1 9 50 15 1 1 0 1 1 1 595
block4 231 7 7 50 15 1 1 0 1 7 1 937
block4 235 7 3 400 15 1 1 0 1 7 1 637
block4 233 7 9 50 15 1 1 0 1 7 1 522
block4 236 1 3 400 15 1 1 0 1 1 1 458
block4 238 1 7 400 15 1 1 0 1 1 1 862
block4 239 7 9 400 15 1 1 0 1 7 1 710
block4 230 1 3 50 15 1 1 0 1 1 1 776
block4 232 1 7 50 15 1 1 0 1 1 1 529
block4 229 7 3 50 15 1 1 0 1 1 2 544
block4 245 7 9 50 15 1 1 0 1 7 1 673
block4 244 1 7 50 15 1 1 0 1 1 1 984
block4 243 7 7 50 15 1 1 0 1 7 1 701
block4 246 1 9 50 15 1 1 0 1 1 1 485
block4 251 7 9 400 15 1 1 0 1 7 1 655
block4 242 1 3 50 15 1 1 0 1 1 1 373
block4 247 7 3 400 15 1 1 0 1 7 1 379
block4 252 1 9 400 15 1 1 0 1 1 1 461
block4 248 1 3 400 15 1 1 0 1 1 1 401
block4 241 7 3 50 15 1 1 0 1 7 1 518
block4 249 7 7 400 15 1 1 0 1 7 1 922
block4 250 1 7 400 15 1 1 0 1 1 1 573
block5 256 1 7 50 15 1 1 0 1 1 1 652
