blockName counter targetLR setSize isi cueUcOrLc congr competing preivewOrNot keyPressed keyStatus rt NA
prc 9 7 7 400 15 1 1 0 1 7 1 1640
prc 11 7 9 400 15 1 1 0 1 7 1 1967
prc 3 7 7 50 15 1 1 0 1 7 1 861
prc 4 1 7 50 15 1 1 0 1 1 1 913
prc 2 1 3 50 15 1 1 0 1 1 1 980
prc 8 1 3 400 15 1 1 0 1 1 1 697
prc 6 1 9 50 15 1 1 0 1 1 1 1619
prc 1 7 3 50 15 1 1 0 1 7 1 689
prc 7 7 3 400 15 1 1 0 1 7 1 1361
prc 12 1 9 400 15 1 1 0 1 1 1 1526
prc 5 7 9 50 15 1 1 0 1 7 1 1276
prc 10 1 7 400 15 1 1 0 1 1 1 1138
block1 21 7 7 400 15 1 1 0 1 7 1 716
block1 15 7 7 50 15 1 1 0 1 7 1 676
block1 23 7 9 400 15 1 1 0 1 7 1 902
block1 18 1 9 50 15 1 1 0 1 1 1 1141
block1 19 7 3 400 15 1 1 0 1 7 1 603
block1 17 7 9 50 15 1 1 0 1 7 1 940
block1 14 1 3 50 15 1 1 0 1 1 1 679
block1 16 1 7 50 15 1 1 0 1 1 1 1140
block1 22 1 7 400 15 1 1 0 1 1 1 645
block1 20 1 3 400 15 1 1 0 1 1 1 854
block1 13 7 3 50 15 1 1 0 1 7 1 637
block1 24 1 9 400 15 1 1 0 1 1 1 986
block1 29 7 9 50 15 1 1 0 1 7 1 962
block1 27 7 7 50 15 1 1 0 1 7 1 906
block1 33 7 7 400 15 1 1 0 1 7 1 1112
block1 31 7 3 400 15 1 1 0 1 7 1 514
block1 26 1 3 50 15 1 1 0 1 1 1 578
block1 28 1 7 50 15 1 1 0 1 1 1 1195
block1 35 7 9 400 15 1 1 0 1 7 1 941
block1 32 1 3 400 15 1 1 0 1 1 1 495
block1 30 1 9 50 15 1 1 0 1 1 1 652
block1 25 7 3 50 15 1 1 0 1 7 1 509
block1 36 1 9 400 15 1 1 0 1 1 1 1105
block1 34 1 7 400 15 1 1 0 1 1 1 1092
block1 38 1 3 50 15 1 1 0 1 1 1 569
block1 37 7 3 50 15 1 1 0 1 7 1 559
block1 47 7 9 400 15 1 1 0 1 7 1 694
block1 45 7 7 400 15 1 1 0 1 7 1 582
